the student,der Student
the table,der Tisch
the chair,der Stuhl
the lamp,die Lampe
the students,die Studentin
the house,das Haus
the bed,das Bett
the child,das Kind
the book,das Buch
the father,der Vater
the friend,der Freund
the rooster,der Hahn
the bull,der Stier
the god,der Gott
the artists,der Künstler
the worker,der Arbeiter
the scientist,der Wissenschaftler
the writer,der Schriftsteller
the computer,der Computer
the ballpoint pen,der Kugelschreiber
the Monday,der Montag
the Wednesday,der Mittwoch
the December,der Dezember
the winter,der Winter
the summer,der Sommer
the king,der König
the carpet,der Teppich
the sparrow,der Sperling
the palace,der Palast
the socialism,der Sozialismus
the north,der Norden
the south,der Süden
the east,der Osten
the west,der Westen
the mother,die Mutter
the friend (f),die Freundin
the hen,die Henne
the cow,die Kuh
the goddess,die Göttin
the artist (f),die Künstlerin
the oak,die Eiche
the chestnut,die Kastinie
the pear,die Birne
the tomato,die Tomate
the rose,die Rose
the orchid,die Orchidee
the bakery,die Bäckerei
the industry,die Industrie
the architect,der Architekt
the architect (f),die Architektin
the version,die Version
the health,die Gesundheit
the company,die Gesellschaft
the university,die Universität
the hope,die Hoffnung
the literature,die Literatur
the book,das Buch
the booklet,das Büchlein
the particle,das Teilchen
the little man,das Männlein
the little table,das Tischchen
the car,das Auto
the radio,das Radio
the embargo,das Embargo
the video,das Video
the coming,das Kommen
the going,das Gehen
the knowledge,das Wissen
the learning,das Lernen
the thinking,das Denken
the being,das Sein
the study,das Studium
the universe,das Universum
the gospel,das Evangelium
the visa,das Visum
the April,der April
the anarchy,die Anarchie
the architecture,die Architektur
the arm,der Arm
the August,der August
the ball,der Ball
the beginning (formal moment),der Beginn
the biology,die Biologie
the bus,der Bus
the butter,die Butter
the clown,der Clown
the diskette,die Diskette
the division,die Division
the e-mail,die E-Mail
the experiment,das Experiment
the Febuary,der Februar
the film,der Film
the finger,der Finger
the photo,das Foto
the garage,die Garage
the general,der General
the geography,die Geographie
the geometry,die Geometrie
the gold,das Gold
the hand,die Hand
the happy ending,das Happy End
the hotel,das Hotel
the hunger,der Hunger
the index,der Index
the computer science,die Informatik
the instrument,das Instrument
the January,der Januar
the kilometer,das Kilometer
the kindergarten,der Kindergarten
the clarinet,die Klarinette
the knot,der Knoten
the know-how,das Know-how
the compromise,der Kompromiss
the culture,die Kultur
the labyrinth,das Labyrinth
the country,das Land
the linguistics,die Linguistik
the literature,die Literatur
the Madonna,die Madonna
the mathematics,die Mathematik
the migration,die Migration
the million,die Million
the minute,die Minute
the museum,das Museum
the music,die Musik
the name,der Name
the november,der November
the opium,das Opium
the october,der Oktober
the opposition,die Opposition
the park,der Park
the philosophy,die Philosophie
the physics,die Physik
the politics,die Politik
the problem,das Problem
the professor,der Professor
the program,das Programm
the project,das Projekt
the process,der Prozess
the procession,die Prozession
the sweater,der Pullover
the psychology,die Psychologie
the quarter,das Quartal
the reform,die Reform
the restaurant,das Restaurant
the ring,der Ring
the sand,der Sand
the semester,das Semester
the senator,der Senator
the September,der September
the sofa,das Sofa
the sociology,die Soziologie
the sport,der Sport
the talent,das Talent
the tango,der Tango
the tank (container),der Tank
the taxi,das Taxi
the team,das Team
the technology,die Technologie
the text,der Text
the theater,das Theater
the thermomenter,das Thermometer
the tube,die Tube
the tundra,die Tundra
the tunnel,der Tunnel
the turban,der Turban
the turbine,die Turbine
the ulimatum,das Ultimatum
the umlaut,der Umlaut
the vendetta,die Vendetta
the veranda,die Veranda
the verb,das Verb
the villa,die Villa
the viola,die Viola
the wind,der Wind
